year,maxt,mint,pcpn,snow
1948,63.3,35.3,12.62,70.8
1949,63.2,36.1,16.78,61
1950,64.8,36.5,13.93,57.6
1951,61.5,35.2,19.43,95
1952,64.5,37.2,13.43,65.7
1953,65.3,38.5,14.23,71.6
1954,67.9,39.1,7.51,32.7
1955,63.9,36.6,16.05,54.7
1956,65.2,37.9,13.72,61.7
1957,62.8,37.7,21.58,57.8
1958,64.3,38.5,18.8,69.4
1959,63.3,36.9,16.54,112
1960,63.4,36.1,14.98,74.8
1961,62.4,35.4,19.01,80.3
1962,64.7,34.8,8.45,52.2
1963,65.9,35.6,12.23,39.9
1964,64.3,35.1,10.14,57.2
1965,63.6,35.9,21.87,62.1
1966,65.7,35.5,10.81,43.5
1967,64.1,34.7,23.31,51.7
1968,63.7,34,12.13,47.7
1969,63.6,36.4,21.52,59.6
1970,64.7,34.4,13.73,47
1971,64.5,34.6,10.96,66.2
1972,64.3,35.5,16.87,83.2
1973,63.6,36.4,22.96,98.4
1974,65.4,35.6,14.03,65.9
1975,64.1,34.9,15.51,64.1
1976,65.2,36.7,13.41,44.3
1977,66.7,38.5,10.34,27.9
1978,63.4,36.2,11.7,62.2
1979,62.7,36.4,20.36,90.9
1980,65.3,39.1,13.67,53.8
1981,67.4,40.8,12.59,51.3
1982,62.6,36.3,14.45,40.8
1983,60.5,36.2,20.19,92.3
1984,62,36.7,16.49,65.7
1985,62.1,35.9,16.31,67.5
1986,65.7,38.8,12.09,45.9
1987,64.7,38,20.03,83.3
1988,65.4,37.1,14.96,44.7
1989,64.7,36.7,15.47,58.5
1990,65.2,38,16.69,65.3
1991,64.8,37.5,20.32,72.2
1992,64.8,37.4,15.68,71.4
1993,63.1,36.2,14.78,63
1994,67.7,39.2,11,57.4
1995,63.7,36.7,15.85,33.8
1996,65.2,36.6,12.52,46.9
1997,63,36.9,23.84,70.2
1998,64.8,38,18.36,45.8
1999,66.2,38.1,18.83,53.3
2000,65.9,37.5,13.86,37.3
2001,65.6,37.7,15.81,53
2002,65.8,36.1,8.49,30.8
2003,66,36.6,16.07,60.5
2004,64.5,36.4,17.16,44.5
2005,65.5,37,14.55,40
2006,65.7,37.3,12.65,59.3
2007,64.5,36.4,17.45,55.4
2008,64.2,35.3,10.83,27.8
2009,62.1,34.8,15.46,35.7
2010,65.1,36.7,11.75,28.8
2011,63.9,35.5,18.88,44.5
2012,68.1,38.8,9.57,35.6
2013,63.5,35.9,25.14,49.6
2014,64.4,36.3,16.76,42.1
2015,65.1,38.6,24.07,74.5
2016,67.5,38.1,11.17,58.2
2017,68,38.1,13.14,19.9
2018,66.5,37.5,11.62,26.7
2019,63.7,36.2,12.64,71.4
2020,70.3,41,8.63,40.6
